Wavelength,Left Raw,Left Corrected,Left Fit,Right Raw,Right Corrected,Right Fit
436.04020434971454,34.0,133302858732.7494,155161783.44044158,523.0,3585859325.9228477,4004028567.4397955
436.4657819570093,10.0,39228570212.06349,157594196.27096328,509.0,3657664203.9685836,4039472420.5474653
436.89135287682797,22.0,86679454385.71925,160059091.411604,568.0,3680426315.1888824,4075140139.6657157
437.3169171034765,-6.0,23802261209.764263,162556819.1668265,574.0,3749089815.09264,4111032406.9603686
437.74247463125914,41.0,146948465896.62918,165087732.5625442,538.0,3367447026.207619,4147149902.066255
438.16802545448195,33.0,121000941861.03828,167652187.3561652,539.0,3277683614.7955937,4183493302.0644794
438.5935695674502,36.0,125694984549.7766,170250542.04652506,519.0,3153969767.464589,4220063281.4592257
439.0191069644702,10.0,35466910696.81803,172883157.8837992,546.0,3473399801.015048,4256860512.1552014
439.4446376398481,14.0,49528858981.32385,175550398.87931523,639.0,3695283974.0656567,4293885663.434752
439.8701615878899,-8.0,29698961074.62921,178252631.81533286,581.0,3487604396.9441724,4331139401.935469
440.29567880290205,10.0,37549099667.616875,180990226.25474143,644.0,3637891443.805902,4368622391.627756
440.721189279192,66.0,236748471667.48676,183763554.5507043,661.0,3430205174.4484596,4406335293.79272
441.1466930110658,30.0,110451392176.00072,186572991.85621798,661.0,3489840644.944352,4444278766.999786
441.5721899928314,-29.0,100471586248.45474,189418916.13363543,730.0,3759529691.257134,4482453467.08505
441.99768021879584,7.0,23628597385.201607,192301708.16409004,750.0,3711858781.871319,4520860047.129246
442.42316368326635,44.0,150019938861.48837,195221751.55686933,728.0,3673613159.9024253,4559499157.436069
442.8486403805515,80.0,268040497585.66895,198179432.7587282,766.0,3838824019.86857,4598371445.510858
443.27411030495887,69.0,215553598368.53513,201175141.0630993,770.0,3963923654.7640505,4637477556.038877
443.6995734507974,46.0,142058125822.59137,204209268.61927852,796.0,3919559984.502322,4676818130.864382
444.1250298123743,25.0,74923032797.21385,207282210.44148508,805.0,4039534118.619945,4716393808.969162
444.55047938399923,-3.0,9013026855.650196,210394364.41791716,920.0,4263866380.4756804,4756205226.451984
444.9759221599808,-2.0,5863554613.986668,213546131.31966668,907.0,4182359200.258477,4796253016.507498
445.4013581346282,24.0,71048497679.77255,216737914.8096074,878.0,3863582727.907854,4836537809.405631
445.8267873022505,38.0,111406529518.82416,219970121.45118862,910.0,3777070757.946582,4877060232.471128
446.25220965715846,52.0,146496420901.3065,223243160.71716398,926.0,3747579517.9092736,4917820910.063228
446.67762519366016,29.0,77977100982.08977,226557444.9982209,984.0,3900434373.8087387,4958820463.555135
447.10303390606646,20.0,52580496738.530525,229913389.61157885,1045.0,4073876469.5799375,5000059511.314407
447.52843578868794,44.0,116388463660.7885,233311412.8094706,1068.0,3996712140.0967836,5041538668.68278
447.95383083583386,43.0,109755097830.05753,236751935.78754506,1099.0,4027294044.5403757,5083258547.956269
448.3792190418162,18.0,45878918977.45071,240235382.69324276,1132.0,3961951587.2727327,5125219758.365983
448.80460040094516,57.0,143292486358.97913,243762180.63401064,1224.0,4130358779.8269143,5167422906.058158
449.2299749075318,22.0,54839730964.10773,247332759.68551424,1177.0,4132267702.6172557,5209868594.075207
449.6553425558875,35.0,85661511546.64275,250947552.89971977,1220.0,4243219078.032721,5252557422.336399
450.0807033403241,29.0,70468464480.60876,254606996.31292477,1213.0,4164669876.970515,5295489987.618967
450.50605725515317,81.0,185352507299.0992,258311528.95367426,1296.0,4488347372.187524,5338666883.539091
450.9314042946868,29.0,66973116103.770164,262061592.8506362,1396.0,4674180769.770477,5382088700.533393
451.3567444532376,-1.0,2311782384.174132,265857633.0403551,1382.0,4504053068.951659,5425756025.840317
451.7820777251168,19.0,40898654969.25977,269700097.574933,1442.0,4645946025.130236,5469669443.48159
452.20740410463816,28.0,59835492903.63997,273589437.52965677,1442.0,4672038771.916508,5513829534.244364
452.632723586114,18.0,38930105642.382744,277526107.0104857,1448.0,4523338953.814553,5558236875.662792
453.05803616385793,29.0,60772449778.889694,281510563.16150033,1545.0,4689995748.689059,5602892042.000346
453.4833418321829,14.0,29174930646.613644,285543266.17222935,1587.0,4752409527.601438,5647795604.231925
453.9086405854026,17.0,34676684159.33375,289624679.2849208,1623.0,4771738177.959597,5692948130.026354
454.333932417831,1.0,2106805842.5786161,293755268.8016985,1613.0,4803577349.05637,5738350183.728884
454.7592173237815,20.0,41194035941.20732,297935504.091645,1649.0,4909623680.872781,5784002326.343921
455.1844952975694,4.0,8006069568.338655,302165857.5978048,1635.0,4894349944.117136,5829905115.518054
455.60976633350776,7.0,13995547526.065783,306446804.8440482,1719.0,4937915560.977652,5876059105.522725
456.0350304259129,35.0,69847860744.68788,310778824.4419364,1757.0,5054344800.438289,5922464847.2380295
456.46028756909874,8.0,15916841619.479506,315162398.09738874,1747.0,5113703029.419128,5969122888.135455
456.8855377573802,40.0,79983003938.83983,319598010.61733097,1767.0,5196398594.345215,6016033772.261723
457.31078098507317,7.0,13824703892.451023,324086149.9162417,1768.0,5177078408.059484,6063198040.222535
457.73601724649376,4.0,7799432115.04608,328627307.0225869,1816.0,5057088513.956407,6110616229.16637
458.16124653595654,6.0,11740009463.109858,333221976.08514214,1897.0,5280297408.2113,6158288872.768176
458.5864688477787,2.0,3980855307.3198776,337870654.3792951,1904.0,5417609195.9995165,6206216501.214124
459.0116841762761,36.0,70961737158.6645,342573842.31317097,1948.0,5444646117.615035,6254399641.1854515
459.4368925157653,32.0,61669228966.326004,347332043.43370646,1910.0,5336711414.340543,6302838815.843161
459.86209386056265,56.0,106922622579.398,352145764.43262094,1968.0,5380656182.621504,6351534544.81264
460.287288204986,11.0,21467127232.4795,357015515.1522985,2030.0,5532187089.918513,6400487344.168616
460.71247554335173,16.0,31361289750.133198,361941808.59153795,2071.0,5602621901.628709,6449697726.419847
461.1376558699778,66.0,127986089869.80977,366925160.9112661,2154.0,5864621297.394659,6499166200.494621
461.562829179182,28.0,54334379929.11029,371966091.44009346,2163.0,5861465952.263135,6548893271.725807
461.98799546528187,10.0,19548796540.430466,377065122.6797963,2147.0,5893995813.653836,6598879441.836397
462.4131547225957,22.0,42536636120.69473,382222780.31071925,2149.0,5773357588.710642,6649125208.925219
462.83830694544173,34.0,65816655142.56713,387439593.1970387,2213.0,6028006074.772422,6699631067.452675
463.26345212813925,62.0,119223326133.3316,392716093.39197373,2242.0,5904651052.318457,6750397508.226856
463.6885902650066,88.0,169260315846.35764,398052816.14282423,2225.0,5792505608.17507,6801425018.38932
464.1137213503627,61.0,116421959602.93965,403450299.8959986,2275.0,5780871402.679838,6852714081.401808
464.5388453785273,-19.0,35612547069.58418,408909086.30186707,2344.0,5961806908.502624,6904265177.032428
464.9639623438194,23.0,42759982755.9444,414429720.2195494,2436.0,6027819007.4047,6956078781.342419
465.3890722405591,18.0,34502773817.85701,420012749.7215974,2431.0,6085118783.667821,7008155366.672913
465.81417506306644,33.0,63028849477.02846,425658726.0985555,2461.0,6149215938.173885,7060495401.631886
466.23927080566233,46.0,88827214769.14049,431368203.86344177,2502.0,5970227247.921019,7113099351.08135
466.6643594626661,39.0,75070241189.54646,437141740.75608647,2510.0,6038552793.288252,7165967676.124371
467.08944102839934,-16.0,30193761600.16575,442979897.7474391,2618.0,6069691343.428755,7219100834.092948
467.5145154971825,7.0,12890626728.445639,448883239.04367936,2652.0,6202057010.525447,7272499278.535267
