Wavelength,Left Raw,Left Corrected,Left Fit,Right Raw,Right Corrected,Right Fit
561.2715482991199,37.0,3140998147.6460404,3140998147.6460404,42034.0,24716721552.8808,24716721552.8808
561.6949071507621,16.0,3171127739.586312,3171127739.586312,42909.0,24835618756.86478,24835618756.86478
562.1182576456754,13.0,3201490618.791445,3201490618.791445,43414.0,24954834351.100258,24954834351.100258
562.5415997782437,7.0,3232088092.3010178,3232088092.3010178,43782.0,25074368072.410793,25074368072.410793
562.9649335428505,-1.0,3262921470.802436,3262921470.802436,44429.0,25194219653.753696,25194219653.753696
563.3882589338804,15.0,3293992068.619454,3293992068.619454,44935.0,25314388824.230938,25314388824.230938
563.8115759457183,-12.0,3325301203.700384,3325301203.700384,46110.0,25434875309.098934,25434875309.098934
564.2348845727491,16.0,3356850197.6060205,3356850197.6060205,46627.0,25555678829.77836,25555678829.77836
564.6581848093577,80.0,3388640375.4978833,3388640375.4978833,47488.0,25676799103.865227,25676799103.865227
565.0814766499303,10.0,3420673066.125961,3420673066.125961,48169.0,25798235845.140903,25798235845.140903
565.5047600888528,11.0,3452949601.816556,3452949601.816556,48507.0,25919988763.5827,25919988763.5827
565.9280351205111,47.0,3485471318.4598513,3485471318.4598513,50058.0,26042057565.374184,26042057565.374184
566.3513017392924,-8.0,3518239555.497577,3518239555.497577,50964.0,26164441952.91605,26164441952.91605
566.7745599395829,29.0,3551255655.9102893,3551255655.9102893,51053.0,26287141624.836586,26287141624.836586
567.1978097157702,-21.0,3584520966.2048244,3584520966.2048244,51969.0,26410156276.0025,26410156276.0025
567.6210510622424,5.0,3618036836.401464,3618036836.401464,52917.0,26533485597.529964,26533485597.529964
568.0442839733867,-30.0,3651804620.0209527,3651804620.0209527,53509.0,26657129276.79478,26657129276.79478
568.4675084435921,10.0,3685825674.0716143,3685825674.0716143,54773.0,26781086997.44433,26781086997.44433
568.8907244672464,24.0,3720101359.0360365,3720101359.0360365,55866.0,26905358439.40728,26905358439.40728
569.3139320387388,49.0,3754633038.8579974,3754633038.8579974,56730.0,27029943278.90586,27029943278.90586
569.7371311524589,-8.0,3789422080.9291143,3789422080.9291143,57854.0,27154841188.466454,27154841188.466454
570.1603218027957,20.0,3824469856.075161,3824469856.075161,58383.0,27280051836.930542,27280051836.930542
570.5835039841395,61.0,3859777738.542809,3859777738.542809,59404.0,27405574889.466297,27405574889.466297
571.0066776908801,89.0,3895347105.9856644,3895347105.9856644,60394.0,27531410007.57982,27531410007.57982
571.4298429174087,59.0,3931179339.4507246,3931179339.4507246,61336.0,27657556849.12639,27657556849.12639
571.8529996581154,38.0,3967275823.36422,3967275823.36422,62636.0,27784015068.321842,27784015068.321842
572.2761479073922,6.0,4003637945.5178947,4003637945.5178947,63862.0,27910784315.754444,27910784315.754444
572.6992876596299,64.0,4040267097.054589,4040267097.054589,64540.0,28037864238.395615,28037864238.395615
573.1224189092209,36.0,4077164672.454307,4077164672.454307,65746.0,28165254479.61256,28165254479.61256
573.5455416505573,28.0,4114332069.519699,4114332069.519699,66777.0,28292954679.178986,28292954679.178986
573.9686558780317,6.0,4151770689.3616724,4151770689.3616724,67811.0,28420964473.287285,28420964473.287285
574.3917615860366,-23.0,4189481936.384892,4189481936.384892,68427.0,28549283494.560314,28549283494.560314
574.8148587689656,13.0,4227467218.2730827,4227467218.2730827,69434.0,28677911372.062843,28677911372.062843
575.2379474212123,10.0,4265727945.974388,4265727945.974388,70043.0,28806847731.31395,28806847731.31395
575.6610275371701,43.0,4304265533.686303,4304265533.686303,71367.0,28936092194.29826,28936092194.29826
576.0840991112335,24.0,4343081398.8409605,4343081398.8409605,72259.0,29065644379.478542,29065644379.478542
576.5071621377969,20.0,4382176962.089941,4382176962.089941,73200.0,29195503901.807495,29195503901.807495
576.9302166112553,9.0,4421553647.28915,4421553647.28915,74330.0,29325670372.73971,29325670372.73971
577.3532625260042,6.0,4461212881.48355,4461212881.48355,74418.0,29456143400.244095,29456143400.244095
577.7762998764382,18.0,4501156094.891664,4501156094.891664,75276.0,29586922588.81515,29586922588.81515
578.1993286569544,6.0,4541384720.890463,4541384720.890463,76089.0,29718007539.48698,29718007539.48698
578.6223488619481,29.0,4581900195.999348,4581900195.999348,77249.0,29849397849.843422,29849397849.843422
579.0453604858164,1.0,4622703959.864824,4622703959.864824,78370.0,29981093114.031967,29981093114.031967
579.4683635229557,11.0,4663797455.244534,4663797455.244534,78927.0,30113092922.775196,30113092922.775196
579.8913579677636,9.0,4705182127.991573,4705182127.991573,79276.0,30245396863.384,30245396863.384
580.3143438146373,50.0,4746859427.038316,4746859427.038316,79426.0,30378004519.769127,30378004519.769127
580.7373210579752,32.0,4788830804.380577,4788830804.380577,79638.0,30510915472.45449,30510915472.45449
581.1602896921751,3.0,4831097715.061199,4831097715.061199,80795.0,30644129298.589115,30644129298.589115
581.5832497116356,30.0,4873661617.154015,4873661617.154015,80883.0,30777645571.9601,30777645571.9601
582.0062011107561,21.0,4916523971.747439,4916523971.747439,80441.0,30911463863.00509,30911463863.00509
582.4291438839352,1.0,4959686242.927878,4959686242.927878,80623.0,31045583738.82499,31045583738.82499
582.8520780255728,8.0,5003149897.763416,5003149897.763416,81117.0,31180004763.19675,31180004763.19675
583.2750035300692,12.0,5046916406.287018,5046916406.287018,81518.0,31314726496.586136,31314726496.586136
583.6979203918241,24.0,5090987241.479796,5090987241.479796,82064.0,31449748496.16026,31449748496.16026
584.1208286052382,11.0,5135363879.254266,5135363879.254266,82115.0,31585070315.80067,31585070315.80067
584.5437281647128,27.0,5180047798.437401,5180047798.437401,82254.0,31720691506.116547,31720691506.116547
584.9666190646487,-1.0,5225040480.753543,5225040480.753543,82468.0,31856611614.456745,31856611614.456745
585.3895012994476,33.0,5270343410.80734,5270343410.80734,82595.0,31992830184.923588,31992830184.923588
585.8123748635123,44.0,5315958076.066744,5315958076.066744,82662.0,32129346758.385815,32129346758.385815
586.2352397512444,80.0,5361885966.845331,5361885966.845331,82824.0,32266160872.490974,32266160872.490974
586.6580959570462,52.0,5408128576.285174,5408128576.285174,82981.0,32403272061.678814,32403272061.678814
587.0809434753216,42.0,5454687400.339502,5454687400.339502,82966.0,32540679857.19513,32540679857.19513
587.5037823004735,34.0,5501563937.7548275,5501563937.7548275,83100.0,32678383787.10366,32678383787.10366
587.9266124269054,99.0,5548759690.053428,5548759690.053428,83348.0,32816383376.30002,32816383376.30002
588.3494338490219,71.0,5596276161.51577,5596276161.51577,83436.0,32954678146.525017,32954678146.525017
588.7722465612268,49.0,5644114859.162484,5644114859.162484,83349.0,33093267616.377438,33093267616.377438
589.1950505579252,23.0,5692277292.736534,5692277292.736534,83587.0,33232151301.327656,33232151301.327656
589.617845833522,42.0,5740764974.685227,5740764974.685227,84419.0,33371328713.7308,33371328713.7308
590.0406323824232,59.0,5789579420.142172,5789579420.142172,84455.0,33510799362.840557,33510799362.840557
590.4634101990334,68.0,5838722146.908919,5838722146.908919,84225.0,33650562754.821323,33650562754.821323
590.88617927776,84.0,5888194675.437086,5888194675.437086,83959.0,33790618392.763374,33790618392.763374
591.3089396130084,10.0,5937998528.809598,5937998528.809598,83324.0,33930965776.694782,33930965776.694782
591.7316911991857,-6.0,5988135232.722539,5988135232.722539,83134.0,34071604403.595848,34071604403.595848
592.1544340306997,-5.0,6038606315.466715,6038606315.466715,83317.0,34212533767.412373,34212533767.412373
592.5771681019571,4.0,6089413307.908742,6089413307.908742,83121.0,34353753359.068703,34353753359.068703
592.9998934073665,69.0,6140557743.472752,6140557743.472752,83090.0,34495262666.4821,34495262666.4821
593.4226099413352,87.0,6192041158.121321,6192041158.121321,83282.0,34637061174.57552,34637061174.57552
593.8453176982722,112.0,6243865090.336937,6243865090.336937,83244.0,34779148365.29197,34779148365.29197
594.2680166725869,64.0,6296031081.102991,6296031081.102991,83060.0,34921523717.60781,34921523717.60781
594.690706858688,22.0,6348540673.884659,6348540673.884659,83056.0,35064186707.54631,35064186707.54631
595.1133882509854,54.0,6401395414.609993,6401395414.609993,82573.0,35207136808.19148,35207136808.19148
595.5360608438885,35.0,6454596851.650763,6454596851.650763,82317.0,35350373489.70185,35350373489.70185
595.9587246318079,24.0,6508146535.803163,6508146535.803163,82199.0,35493896219.324005,35493896219.324005
596.3813796091542,37.0,6562046020.268668,6562046020.268668,82382.0,35637704461.40688,35637704461.40688
596.8040257703391,50.0,6616296860.634578,6616296860.634578,82067.0,35781797677.415146,35781797677.415146
597.2266631097732,60.0,6670900614.85444,6670900614.85444,82245.0,35926175325.94267,35926175325.94267
